,concept.id,relationship.source-name,relationship.target-namespace,relationship.preferred-label,relationship.tree-depth,relationship.tree-sequence,relationship.target-name,fact.value,concept.is-base,concept.local-name,dimensions.count,period.fiscal-year,period.fiscal-period,dimension.local-name,member.local-name
66,44126870,IncomeStatementAbstract,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,1,1,StatementTable,,,,,,,,
53,44465101,StatementTable,http://fasb.org/srt/2024,http://www.xbrl.org/2003/role/terseLabel,2,2,ProductOrServiceAxis,,,,,,,,
54,44465084,ProductOrServiceAxis,http://fasb.org/srt/2024,http://www.xbrl.org/2003/role/terseLabel,3,3,ProductsAndServicesDomain,,,,,,,,
52,44129197,ProductsAndServicesDomain,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,4,4,ProductMember,,,,,,,,
64,44125313,ProductsAndServicesDomain,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,4,5,ServiceMember,,,,,,,,
65,44127026,StatementTable,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,2,6,StatementLineItems,,,,,,,,
61,44131636,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,7,Revenues,66517000000,True,Revenues,0.0,2024.0,Y,,
62,44131636,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,7,Revenues,77794000000,True,Revenues,0.0,2023.0,Y,,
63,44131636,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,7,Revenues,66608000000,True,Revenues,0.0,2022.0,Y,,
0,44135766,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,8,CostOfGoodsAndServicesSold,,,,,,,,
1,44135799,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedTotalLabel,3,9,CostOfRevenue,68508000000,True,CostOfRevenue,0.0,2024.0,Y,,
2,44135799,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedTotalLabel,3,9,CostOfRevenue,70070000000,True,CostOfRevenue,0.0,2023.0,Y,,
3,44135799,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedTotalLabel,3,9,CostOfRevenue,63078000000,True,CostOfRevenue,0.0,2022.0,Y,,
16,44131819,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,10,GrossProfit,-1991000000,True,GrossProfit,0.0,2024.0,Y,,
17,44131819,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,10,GrossProfit,7724000000,True,GrossProfit,0.0,2023.0,Y,,
18,44131819,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,10,GrossProfit,3530000000,True,GrossProfit,0.0,2022.0,Y,,
22,52629605,StatementLineItems,http://www.boeing.com/20241231,http://www.xbrl.org/2003/role/terseLabel,3,11,IncomeLossfromInvestments,71000000,False,IncomeLossfromInvestments,0.0,2024.0,Y,,
23,52629605,StatementLineItems,http://www.boeing.com/20241231,http://www.xbrl.org/2003/role/terseLabel,3,11,IncomeLossfromInvestments,46000000,False,IncomeLossfromInvestments,0.0,2023.0,Y,,
24,52629605,StatementLineItems,http://www.boeing.com/20241231,http://www.xbrl.org/2003/role/terseLabel,3,11,IncomeLossfromInvestments,-16000000,False,IncomeLossfromInvestments,0.0,2022.0,Y,,
13,44131786,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,12,GeneralAndAdministrativeExpense,5021000000,True,GeneralAndAdministrativeExpense,0.0,2024.0,Y,,
14,44131786,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,12,GeneralAndAdministrativeExpense,5168000000,True,GeneralAndAdministrativeExpense,0.0,2023.0,Y,,
15,44131786,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,12,GeneralAndAdministrativeExpense,4187000000,True,GeneralAndAdministrativeExpense,0.0,2022.0,Y,,
58,44121121,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,13,ResearchAndDevelopmentExpense,3812000000,True,ResearchAndDevelopmentExpense,0.0,2024.0,Y,,
59,44121121,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,13,ResearchAndDevelopmentExpense,3377000000,True,ResearchAndDevelopmentExpense,0.0,2023.0,Y,,
60,44121121,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,13,ResearchAndDevelopmentExpense,2852000000,True,ResearchAndDevelopmentExpense,0.0,2022.0,Y,,
10,44131715,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,14,GainLossOnDispositionOfAssets,46000000,True,GainLossOnDispositionOfAssets,0.0,2024.0,Y,,
11,44131715,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,14,GainLossOnDispositionOfAssets,2000000,True,GainLossOnDispositionOfAssets,0.0,2023.0,Y,,
12,44131715,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,14,GainLossOnDispositionOfAssets,6000000,True,GainLossOnDispositionOfAssets,0.0,2022.0,Y,,
43,44131630,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,15,OperatingIncomeLoss,-10707000000,True,OperatingIncomeLoss,0.0,2024.0,Y,,
44,44131630,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,15,OperatingIncomeLoss,-773000000,True,OperatingIncomeLoss,0.0,2023.0,Y,,
45,44131630,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,15,OperatingIncomeLoss,-3519000000,True,OperatingIncomeLoss,0.0,2022.0,Y,,
46,44132687,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,16,OtherNonoperatingIncomeExpense,1222000000,True,OtherNonoperatingIncomeExpense,0.0,2024.0,Y,,
